VAR,Variable,ICU_Type,Statistics_Type,Measure,COU,Country,Continent,Year,OBS_VALUE
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2018,0.02
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,PRT,Portugal,Europe,2018,62.21
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,DEU,Germany,Europe,2018,0.02
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CAN,Canada,North America,2018,0.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,JPN,Japan,Asia,2018,4.77
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,DEU,Germany,Europe,2018,78.1
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,USA,United States,North America,2018,30.17
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,DEU,Germany,Europe,2018,1.17
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CZE,Czechia,Europe,2018,0.07
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CAN,Canada,North America,2018,4.31
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CZE,Czechia,Europe,2018,52.75
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,HUN,Hungary,Europe,2018,0.11
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2018,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,PRT,Portugal,Europe,2018,11.56
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,LTU,Lithuania,Europe,2018,23.74
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2018,0.72
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CAN,Canada,North America,2018,0.01
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,FIN,Finland,Europe,2018,0.05
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,EST,Estonia,Europe,2018,37.71
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUT,Austria,Europe,2018,0.03
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,JPN,Japan,Asia,2018,18.31
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2018,21.74
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ITA,Italy,Europe,2018,8.47
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2018,77.07
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CZE,Czechia,Europe,2018,0.44
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,JPN,Japan,Asia,2018,0.07
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2018,9.88
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,LTU,Lithuania,Europe,2018,3.46
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2018,0.28
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CZE,Czechia,Europe,2018,4.57
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CZE,Czechia,Europe,2018,7.23
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2018,0.09
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,FRA,France,Europe,2018,85.42
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,JPN,Japan,Asia,2018,0.05
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CHE,Switzerland,Europe,2018,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,DEU,Germany,Europe,2018,33.13
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2018,7.39
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,IRL,Ireland,Europe,2018,0.05
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CAN,Canada,North America,2018,11.92
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2018,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,PRT,Portugal,Europe,2018,8.54
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,CZE,Czechia,Europe,2018,71.6
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2018,2
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2018,0.08
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,PRT,Portugal,Europe,2018,0.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2018,0.15
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHE,Switzerland,Europe,2018,77.28
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2018,0.24
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,USA,United States,North America,2018,1.57
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2018,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,FRA,France,Europe,2018,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,USA,United States,North America,2018,0.07
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,TUR,Türkiye,Asia,2018,46.8
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ISR,Israel,Asia,2018,0.09
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CRI,Costa Rica,North America,2018,1.62
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,USA,United States,North America,2018,0.05
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2018,10.2
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,LVA,Latvia,Europe,2018,9.86
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,ISR,Israel,Asia,2018,20.88
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CAN,Canada,North America,2018,0.17
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUS,Australia,Oceania,2018,0.01
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,LTU,Lithuania,Europe,2018,20.27
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2018,0.22
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,ISR,Israel,Asia,2018,1.7
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,USA,United States,North America,2018,0.02
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ITA,Italy,Europe,2018,0.08
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2018,0.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ESP,Spain,Europe,2018,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,LTU,Lithuania,Europe,2018,0.24
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2018,27.15
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,IRL,Ireland,Europe,2018,5.12
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,FRA,France,Europe,2018,0.32
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CZE,Czechia,Europe,2018,0.04
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ESP,Spain,Europe,2018,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2018,13.34
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2018,7.69
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2018,7.87
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,GRC,Greece,Europe,2020,0.06
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,FRA,France,Europe,2020,32.94
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LTU,Lithuania,Europe,2020,53.67
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,USA,United States,North America,2020,4.73
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,HUN,Hungary,Europe,2020,0.21
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,FRA,France,Europe,2020,1.83
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,USA,United States,North America,2020,6.79
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CAN,Canada,North America,2020,17.21
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2020,0.18
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,MEX,Mexico,North America,2020,0.08
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,ESP,Spain,Europe,2020,70.51
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2020,9.72
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,USA,United States,North America,2020,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2020,10.2
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,FRA,France,Europe,2020,0.03
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,HUN,Hungary,Europe,2020,0.17
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,HUN,Hungary,Europe,2020,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CRI,Costa Rica,North America,2020,1.27
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUS,Australia,Oceania,2020,0.5
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,ISR,Israel,Asia,2020,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2020,0.39
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHL,Chile,South America,2020,83.21
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,ISR,Israel,Asia,2020,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2020,2.48
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,DEU,Germany,Europe,2020,0.33
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2020,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,DEU,Germany,Europe,2020,29.7
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,KOR,Korea,Asia,2020,16.53
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,NLD,Netherlands,Europe,2020,6.97
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,HUN,Hungary,Europe,2020,13.47
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2020,33.73
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,GRC,Greece,Europe,2020,0.68
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,KOR,Korea,Asia,2020,0.2
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,GRC,Greece,Europe,2020,0.18
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LUX,Luxembourg,Europe,2020,0.21
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,AUT,Austria,Europe,2020,3.53
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CZE,Czechia,Europe,2020,0.53
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2020,0.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2020,9.11
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,TUR,Türkiye,Asia,2020,58.94
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,NZL,New Zealand,Oceania,2020,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CHE,Switzerland,Europe,2020,1.48
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CZE,Czechia,Europe,2020,43.78
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2020,0.14
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,NLD,Netherlands,Europe,2020,0.97
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,BEL,Belgium,Europe,2020,17.34
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,FIN,Finland,Europe,2020,8.68
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,HUN,Hungary,Europe,2020,54.56
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,GRC,Greece,Europe,2020,27.01
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,NLD,Netherlands,Europe,2020,0.14
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2020,75.11
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,BEL,Belgium,Europe,2020,0.21
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,DEU,Germany,Europe,2020,0.01
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,LUX,Luxembourg,Europe,2020,2.54
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,NLD,Netherlands,Europe,2020,0.07
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUS,Australia,Oceania,2020,69.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,NLD,Netherlands,Europe,2020,0.01
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2020,39.17
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,TUR,Türkiye,Asia,2020,0.57
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ESP,Spain,Europe,2020,12.27
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ESP,Spain,Europe,2020,1.73
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,HUN,Hungary,Europe,2020,5.38
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,LTU,Lithuania,Europe,2020,1.97
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUT,Austria,Europe,2020,2.51
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CZE,Czechia,Europe,2020,0.05
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2020,28.45
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2020,17.51
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LVA,Latvia,Europe,2020,60.06
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CZE,Czechia,Europe,2020,4.24
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2020,0.13
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LTU,Lithuania,Europe,2020,0.22
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,LVA,Latvia,Europe,2020,0.13
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2020,9.62
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ISR,Israel,Asia,2020,8.82
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUT,Austria,Europe,2020,68.89
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,EST,Estonia,Europe,2020,0.39
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,FRA,France,Europe,2020,2.89
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2020,0.1
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,LUX,Luxembourg,Europe,2020,0.01
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,AUT,Austria,Europe,2020,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2020,0.28
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,NZL,New Zealand,Oceania,2020,3.4
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2020,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2020,0.08
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,LUX,Luxembourg,Europe,2020,24.27
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CAN,Canada,North America,2020,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,DEU,Germany,Europe,2020,0.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,JPN,Japan,Asia,2020,0.19
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CRI,Costa Rica,North America,2020,0.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,GRC,Greece,Europe,2020,18.23
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,BEL,Belgium,Europe,2020,35.65
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CAN,Canada,North America,2020,0.6
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,BEL,Belgium,Europe,2020,20.64
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,BEL,Belgium,Europe,2020,0.03
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,GRC,Greece,Europe,2020,6.35
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,PRT,Portugal,Europe,2020,0.12
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,USA,United States,North America,2020,21.24
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,DEU,Germany,Europe,2020,2.25
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,MEX,Mexico,North America,2020,7.65
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,USA,United States,North America,2020,0.3
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,GRC,Greece,Europe,2020,0.2
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2020,15.69
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2020,13.93
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,GRC,Greece,Europe,2020,19.98
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CZE,Czechia,Europe,2020,55.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2020,0.02
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,PRT,Portugal,Europe,2020,51.57
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,DEU,Germany,Europe,2020,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,KOR,Korea,Asia,2020,20.42
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,GRC,Greece,Europe,2020,0.27
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CAN,Canada,North America,2020,0.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,JPN,Japan,Asia,2020,4.95
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,LUX,Luxembourg,Europe,2020,20.94
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,DEU,Germany,Europe,2020,69.9
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,USA,United States,North America,2020,29.53
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,KOR,Korea,Asia,2020,0.28
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,DEU,Germany,Europe,2020,1.24
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CZE,Czechia,Europe,2020,0.08
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CAN,Canada,North America,2020,4.31
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,LUX,Luxembourg,Europe,2020,0.21
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CZE,Czechia,Europe,2020,52.7
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,LUX,Luxembourg,Europe,2020,0.24
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CRI,Costa Rica,North America,2020,8.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,KOR,Korea,Asia,2020,0.04
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,KOR,Korea,Asia,2020,58.7
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,HUN,Hungary,Europe,2020,0.13
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,GRC,Greece,Europe,2020,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2020,0.02
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,BEL,Belgium,Europe,2020,0.36
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,PRT,Portugal,Europe,2020,14.83
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2020,0.71
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,LTU,Lithuania,Europe,2020,0.02
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,LUX,Luxembourg,Europe,2020,0.79
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,LUX,Luxembourg,Europe,2020,20.94
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,BEL,Belgium,Europe,2020,3.29
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,HUN,Hungary,Europe,2020,88.63
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CAN,Canada,North America,2020,0.01
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,FIN,Finland,Europe,2020,0.09
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,LUX,Luxembourg,Europe,2020,0.03
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,EST,Estonia,Europe,2020,38.7
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,BEL,Belgium,Europe,2020,0.17
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,JPN,Japan,Asia,2020,18.98
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2020,22.41
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ITA,Italy,Europe,2020,11.56
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2020,85.11
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CZE,Czechia,Europe,2020,0.44
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,LTU,Lithuania,Europe,2020,25.55
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,JPN,Japan,Asia,2020,0.09
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2020,10.44
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUT,Austria,Europe,2020,0.03
