Variable,Measure,COU,Country,TIME_PERIOD
"Magnetic Resonance Imaging units, total",Number,AUT,Austria,2013
"Magnetic Resonance Imaging units, in hospitals",Number,AUT,Austria,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,AUT,Austria,2013
"Magnetic Resonance Imaging units, total",Number,BEL,Belgium,2013
"Magnetic Resonance Imaging units, in hospitals",Number,BEL,Belgium,2013
"Magnetic Resonance Imaging units, total",Number,CZE,Czechia,2013
"Magnetic Resonance Imaging units, in hospitals",Number,CZE,Czechia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CZE,Czechia,2013
"Magnetic Resonance Imaging units, total",Number,FIN,Finland,2013
"Magnetic Resonance Imaging units, in hospitals",Number,FIN,Finland,2013
"Magnetic Resonance Imaging units, total",Number,FRA,France,2013
"Magnetic Resonance Imaging units, in hospitals",Number,FRA,France,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,FRA,France,2013
"Magnetic Resonance Imaging units, total",Number,DEU,Germany,2013
"Magnetic Resonance Imaging units, in hospitals",Number,DEU,Germany,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,DEU,Germany,2013
"Magnetic Resonance Imaging units, total",Number,GRC,Greece,2013
"Magnetic Resonance Imaging units, in hospitals",Number,GRC,Greece,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,GRC,Greece,2013
"Magnetic Resonance Imaging units, in hospitals",Number,ISL,Iceland,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISL,Iceland,2013
"Magnetic Resonance Imaging units, total",Number,ISL,Iceland,2013
"Magnetic Resonance Imaging units, total",Number,IRL,Ireland,2013
"Magnetic Resonance Imaging units, in hospitals",Number,IRL,Ireland,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,IRL,Ireland,2013
"Magnetic Resonance Imaging units, total",Number,ITA,Italy,2013
"Magnetic Resonance Imaging units, in hospitals",Number,ITA,Italy,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ITA,Italy,2013
"Magnetic Resonance Imaging units, total",Number,KOR,Korea,2013
"Magnetic Resonance Imaging units, in hospitals",Number,KOR,Korea,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,KOR,Korea,2013
"Magnetic Resonance Imaging units, total",Number,LUX,Luxembourg,2013
"Magnetic Resonance Imaging units, in hospitals",Number,LUX,Luxembourg,2013
"Magnetic Resonance Imaging units, total",Number,MEX,Mexico,2013
"Magnetic Resonance Imaging units, in hospitals",Number,MEX,Mexico,2013
"Magnetic Resonance Imaging units, total",Number,NLD,Netherlands,2013
"Magnetic Resonance Imaging units, in hospitals",Number,NLD,Netherlands,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,NLD,Netherlands,2013
"Magnetic Resonance Imaging units, total",Number,NZL,New Zealand,2013
"Magnetic Resonance Imaging units, total",Number,POL,Poland,2013
"Magnetic Resonance Imaging units, in hospitals",Number,POL,Poland,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,POL,Poland,2013
"Magnetic Resonance Imaging units, in hospitals",Number,PRT,Portugal,2013
"Magnetic Resonance Imaging units, total",Number,SVK,Slovak Republic,2013
"Magnetic Resonance Imaging units, in hospitals",Number,SVK,Slovak Republic,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVK,Slovak Republic,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ESP,Spain,2013
"Magnetic Resonance Imaging units, total",Number,ESP,Spain,2013
"Magnetic Resonance Imaging units, in hospitals",Number,ESP,Spain,2013
"Magnetic Resonance Imaging units, in hospitals",Number,CHE,Switzerland,2013
"Magnetic Resonance Imaging units, total",Number,TUR, Türkiye,2013
"Magnetic Resonance Imaging units, total",Number,USA,United States,2013
"Magnetic Resonance Imaging units, in hospitals",Number,USA,United States,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,USA,United States,2013
"Magnetic Resonance Imaging units, total",Number,BRA,Brazil,2013
"Magnetic Resonance Imaging units, total",Number,EST,Estonia,2013
"Magnetic Resonance Imaging units, in hospitals",Number,EST,Estonia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,EST,Estonia,2013
"Magnetic Resonance Imaging units, total",Number,ISR,Israel,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISR,Israel,2013
"Magnetic Resonance Imaging units, in hospitals",Number,ISR,Israel,2013
"Magnetic Resonance Imaging units, total",Number,RUS,Russia,2013
"Magnetic Resonance Imaging units, total",Number,SVN,Slovenia,2013
"Magnetic Resonance Imaging units, in hospitals",Number,SVN,Slovenia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVN,Slovenia,2013
"Magnetic Resonance Imaging units, total",Number,LVA,Latvia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LTU,Lithuania,2013
"Magnetic Resonance Imaging units, in hospitals",Number,LTU,Lithuania,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LVA,Latvia,2013
"Magnetic Resonance Imaging units, total",Number,LTU,Lithuania,2013
"Magnetic Resonance Imaging units, in hospitals",Number,LVA,Latvia,2013
"Magnetic Resonance Imaging units, total",Number,COL,Colombia,2013
"Magnetic Resonance Imaging units, in hospitals",Number,CRI,Costa Rica,2013
"Magnetic Resonance Imaging units, in hospitals",Number,HRV,Croatia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,BGR,Bulgaria,2013
"Magnetic Resonance Imaging units, total",Number,BGR,Bulgaria,2013
"Magnetic Resonance Imaging units, total",Number,HRV,Croatia,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ROU,Romania,2013
"Magnetic Resonance Imaging units, in hospitals",Number,ROU,Romania,2013
"Magnetic Resonance Imaging units, in ambulatory sector",Number,HRV,Croatia,2013
"Magnetic Resonance Imaging units, in hospitals",Number,BGR,Bulgaria,2013
"Magnetic Resonance Imaging units, total",Number,ROU,Romania,2013
"Magnetic Resonance Imaging units, total",Number,AUS,Australia,2011
"Magnetic Resonance Imaging units, total",Number,AUT,Austria,2011
"Magnetic Resonance Imaging units, in hospitals",Number,AUT,Austria,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,AUT,Austria,2011
"Magnetic Resonance Imaging units, total",Number,BEL,Belgium,2011
"Magnetic Resonance Imaging units, in hospitals",Number,BEL,Belgium,2011
"Magnetic Resonance Imaging units, total",Number,CAN,Canada,2011
"Magnetic Resonance Imaging units, in hospitals",Number,CAN,Canada,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CAN,Canada,2011
"Magnetic Resonance Imaging units, total",Number,CZE,Czechia,2011
"Magnetic Resonance Imaging units, in hospitals",Number,CZE,Czechia,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CZE,Czechia,2011
"Magnetic Resonance Imaging units, total",Number,FIN,Finland,2011
"Magnetic Resonance Imaging units, in hospitals",Number,FIN,Finland,2011
"Magnetic Resonance Imaging units, total",Number,FRA,France,2011
"Magnetic Resonance Imaging units, in hospitals",Number,FRA,France,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,FRA,France,2011
"Magnetic Resonance Imaging units, total",Number,DEU,Germany,2011
"Magnetic Resonance Imaging units, in hospitals",Number,DEU,Germany,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,DEU,Germany,2011
"Magnetic Resonance Imaging units, total",Number,GRC,Greece,2011
"Magnetic Resonance Imaging units, in hospitals",Number,GRC,Greece,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,GRC,Greece,2011
"Magnetic Resonance Imaging units, total",Number,ISL,Iceland,2011
"Magnetic Resonance Imaging units, in hospitals",Number,ISL,Iceland,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISL,Iceland,2011
"Magnetic Resonance Imaging units, total",Number,IRL,Ireland,2011
"Magnetic Resonance Imaging units, in hospitals",Number,IRL,Ireland,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,IRL,Ireland,2011
"Magnetic Resonance Imaging units, total",Number,ITA,Italy,2011
"Magnetic Resonance Imaging units, in hospitals",Number,ITA,Italy,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ITA,Italy,2011
"Magnetic Resonance Imaging units, total",Number,JPN,Japan,2011
"Magnetic Resonance Imaging units, total",Number,KOR,Korea,2011
"Magnetic Resonance Imaging units, in hospitals",Number,KOR,Korea,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,KOR,Korea,2011
"Magnetic Resonance Imaging units, total",Number,LUX,Luxembourg,2011
"Magnetic Resonance Imaging units, in hospitals",Number,LUX,Luxembourg,2011
"Magnetic Resonance Imaging units, total",Number,MEX,Mexico,2011
"Magnetic Resonance Imaging units, in hospitals",Number,MEX,Mexico,2011
"Magnetic Resonance Imaging units, total",Number,NLD,Netherlands,2011
"Magnetic Resonance Imaging units, in hospitals",Number,NLD,Netherlands,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,NLD,Netherlands,2011
"Magnetic Resonance Imaging units, total",Number,NZL,New Zealand,2011
"Magnetic Resonance Imaging units, total",Number,POL,Poland,2011
"Magnetic Resonance Imaging units, in hospitals",Number,POL,Poland,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,POL,Poland,2011
"Magnetic Resonance Imaging units, in hospitals",Number,PRT,Portugal,2011
"Magnetic Resonance Imaging units, total",Number,SVK,Slovak Republic,2011
"Magnetic Resonance Imaging units, in hospitals",Number,SVK,Slovak Republic,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVK,Slovak Republic,2011
"Magnetic Resonance Imaging units, total",Number,ESP,Spain,2011
"Magnetic Resonance Imaging units, in hospitals",Number,ESP,Spain,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ESP,Spain,2011
"Magnetic Resonance Imaging units, in hospitals",Number,CHE,Switzerland,2011
"Magnetic Resonance Imaging units, total",Number,TUR, Türkiye,2011
"Magnetic Resonance Imaging units, total",Number,BRA,Brazil,2011
"Magnetic Resonance Imaging units, total",Number,CHL,Chile,2011
"Magnetic Resonance Imaging units, in hospitals",Number,CHL,Chile,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CHL,Chile,2011
"Magnetic Resonance Imaging units, total",Number,EST,Estonia,2011
"Magnetic Resonance Imaging units, in hospitals",Number,EST,Estonia,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,EST,Estonia,2011
"Magnetic Resonance Imaging units, total",Number,ISR,Israel,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISR,Israel,2011
"Magnetic Resonance Imaging units, in hospitals",Number,ISR,Israel,2011
"Magnetic Resonance Imaging units, total",Number,RUS,Russia,2011
"Magnetic Resonance Imaging units, total",Number,SVN,Slovenia,2011
"Magnetic Resonance Imaging units, in hospitals",Number,SVN,Slovenia,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVN,Slovenia,2011
"Magnetic Resonance Imaging units, total",Number,LVA,Latvia,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LTU,Lithuania,2011
"Magnetic Resonance Imaging units, in hospitals",Number,LTU,Lithuania,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LVA,Latvia,2011
"Magnetic Resonance Imaging units, total",Number,LTU,Lithuania,2011
"Magnetic Resonance Imaging units, in hospitals",Number,LVA,Latvia,2011
"Magnetic Resonance Imaging units, total",Number,COL,Colombia,2011
"Magnetic Resonance Imaging units, in hospitals",Number,CRI,Costa Rica,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,BGR,Bulgaria,2011
"Magnetic Resonance Imaging units, total",Number,BGR,Bulgaria,2011
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ROU,Romania,2011
"Magnetic Resonance Imaging units, in hospitals",Number,ROU,Romania,2011
"Magnetic Resonance Imaging units, in hospitals",Number,BGR,Bulgaria,2011
"Magnetic Resonance Imaging units, total",Number,ROU,Romania,2011
"Magnetic Resonance Imaging units, total",Number,AUS,Australia,2018
"Magnetic Resonance Imaging units, total",Number,AUT,Austria,2018
"Magnetic Resonance Imaging units, in hospitals",Number,AUT,Austria,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,AUT,Austria,2018
"Magnetic Resonance Imaging units, total",Number,BEL,Belgium,2018
"Magnetic Resonance Imaging units, in hospitals",Number,BEL,Belgium,2018
"Magnetic Resonance Imaging units, total",Number,CZE,Czechia,2018
"Magnetic Resonance Imaging units, in hospitals",Number,CZE,Czechia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CZE,Czechia,2018
"Magnetic Resonance Imaging units, total",Number,FIN,Finland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,FIN,Finland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,FRA,France,2018
"Magnetic Resonance Imaging units, total",Number,FRA,France,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,FRA,France,2018
"Magnetic Resonance Imaging units, total",Number,DEU,Germany,2018
"Magnetic Resonance Imaging units, in hospitals",Number,DEU,Germany,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,DEU,Germany,2018
"Magnetic Resonance Imaging units, total",Number,GRC,Greece,2018
"Magnetic Resonance Imaging units, in hospitals",Number,GRC,Greece,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,GRC,Greece,2018
"Magnetic Resonance Imaging units, total",Number,ISL,Iceland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,ISL,Iceland,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISL,Iceland,2018
"Magnetic Resonance Imaging units, total",Number,IRL,Ireland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,IRL,Ireland,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,IRL,Ireland,2018
"Magnetic Resonance Imaging units, total",Number,ITA,Italy,2018
"Magnetic Resonance Imaging units, in hospitals",Number,ITA,Italy,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ITA,Italy,2018
"Magnetic Resonance Imaging units, total",Number,KOR,Korea,2018
"Magnetic Resonance Imaging units, in hospitals",Number,KOR,Korea,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,KOR,Korea,2018
"Magnetic Resonance Imaging units, total",Number,LUX,Luxembourg,2018
"Magnetic Resonance Imaging units, in hospitals",Number,LUX,Luxembourg,2018
"Magnetic Resonance Imaging units, total",Number,MEX,Mexico,2018
"Magnetic Resonance Imaging units, in hospitals",Number,MEX,Mexico,2018
"Magnetic Resonance Imaging units, total",Number,NLD,Netherlands,2018
"Magnetic Resonance Imaging units, in hospitals",Number,NLD,Netherlands,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,NLD,Netherlands,2018
"Magnetic Resonance Imaging units, total",Number,NZL,New Zealand,2018
"Magnetic Resonance Imaging units, total",Number,NOR,Norway,2018
"Magnetic Resonance Imaging units, total",Number,POL,Poland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,POL,Poland,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,POL,Poland,2018
"Magnetic Resonance Imaging units, in hospitals",Number,PRT,Portugal,2018
"Magnetic Resonance Imaging units, total",Number,SVK,Slovak Republic,2018
"Magnetic Resonance Imaging units, in hospitals",Number,SVK,Slovak Republic,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVK,Slovak Republic,2018
"Magnetic Resonance Imaging units, total",Number,ESP,Spain,2018
"Magnetic Resonance Imaging units, in hospitals",Number,ESP,Spain,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ESP,Spain,2018
"Magnetic Resonance Imaging units, total",Number,SWE,Sweden,2018
"Magnetic Resonance Imaging units, in hospitals",Number,SWE,Sweden,2018
"Magnetic Resonance Imaging units, in hospitals",Number,CHE,Switzerland,2018
"Magnetic Resonance Imaging units, total",Number,TUR, Türkiye,2018
"Magnetic Resonance Imaging units, total",Number,USA,United States,2018
"Magnetic Resonance Imaging units, in hospitals",Number,USA,United States,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,USA,United States,2018
"Magnetic Resonance Imaging units, total",Number,BRA,Brazil,2018
"Magnetic Resonance Imaging units, total",Number,EST,Estonia,2018
"Magnetic Resonance Imaging units, in hospitals",Number,EST,Estonia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,EST,Estonia,2018
"Magnetic Resonance Imaging units, total",Number,ISR,Israel,2018
"Magnetic Resonance Imaging units, in hospitals",Number,ISR,Israel,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISR,Israel,2018
"Magnetic Resonance Imaging units, total",Number,RUS,Russia,2018
"Magnetic Resonance Imaging units, total",Number,SVN,Slovenia,2018
"Magnetic Resonance Imaging units, in hospitals",Number,SVN,Slovenia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVN,Slovenia,2018
"Magnetic Resonance Imaging units, total",Number,LVA,Latvia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LTU,Lithuania,2018
"Magnetic Resonance Imaging units, in hospitals",Number,LTU,Lithuania,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LVA,Latvia,2018
"Magnetic Resonance Imaging units, total",Number,LTU,Lithuania,2018
"Magnetic Resonance Imaging units, in hospitals",Number,LVA,Latvia,2018
"Magnetic Resonance Imaging units, total",Number,COL,Colombia,2018
"Magnetic Resonance Imaging units, in hospitals",Number,CRI,Costa Rica,2018
"Magnetic Resonance Imaging units, in hospitals",Number,HRV,Croatia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,BGR,Bulgaria,2018
"Magnetic Resonance Imaging units, total",Number,BGR,Bulgaria,2018
"Magnetic Resonance Imaging units, total",Number,HRV,Croatia,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ROU,Romania,2018
"Magnetic Resonance Imaging units, in hospitals",Number,ROU,Romania,2018
"Magnetic Resonance Imaging units, in ambulatory sector",Number,HRV,Croatia,2018
"Magnetic Resonance Imaging units, in hospitals",Number,BGR,Bulgaria,2018
"Magnetic Resonance Imaging units, total",Number,ROU,Romania,2018
"Magnetic Resonance Imaging units, total",Number,AUS,Australia,2020
"Magnetic Resonance Imaging units, total",Number,AUT,Austria,2020
"Magnetic Resonance Imaging units, in hospitals",Number,AUT,Austria,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,AUT,Austria,2020
"Magnetic Resonance Imaging units, total",Number,BEL,Belgium,2020
"Magnetic Resonance Imaging units, in hospitals",Number,BEL,Belgium,2020
"Magnetic Resonance Imaging units, total",Number,CZE,Czechia,2020
"Magnetic Resonance Imaging units, in hospitals",Number,CZE,Czechia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CZE,Czechia,2020
"Magnetic Resonance Imaging units, total",Number,FIN,Finland,2020
"Magnetic Resonance Imaging units, in hospitals",Number,FIN,Finland,2020
"Magnetic Resonance Imaging units, total",Number,FRA,France,2020
"Magnetic Resonance Imaging units, in hospitals",Number,FRA,France,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,FRA,France,2020
"Magnetic Resonance Imaging units, in hospitals",Number,DEU,Germany,2020
"Magnetic Resonance Imaging units, in hospitals",Number,GRC,Greece,2020
"Magnetic Resonance Imaging units, total",Number,GRC,Greece,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,GRC,Greece,2020
"Magnetic Resonance Imaging units, total",Number,ISL,Iceland,2020
"Magnetic Resonance Imaging units, in hospitals",Number,ISL,Iceland,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISL,Iceland,2020
"Magnetic Resonance Imaging units, total",Number,IRL,Ireland,2020
"Magnetic Resonance Imaging units, in hospitals",Number,IRL,Ireland,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,IRL,Ireland,2020
"Magnetic Resonance Imaging units, total",Number,ITA,Italy,2020
"Magnetic Resonance Imaging units, in hospitals",Number,ITA,Italy,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ITA,Italy,2020
"Magnetic Resonance Imaging units, total",Number,JPN,Japan,2020
"Magnetic Resonance Imaging units, total",Number,KOR,Korea,2020
"Magnetic Resonance Imaging units, in hospitals",Number,KOR,Korea,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,KOR,Korea,2020
"Magnetic Resonance Imaging units, total",Number,LUX,Luxembourg,2020
"Magnetic Resonance Imaging units, in hospitals",Number,LUX,Luxembourg,2020
"Magnetic Resonance Imaging units, total",Number,MEX,Mexico,2020
"Magnetic Resonance Imaging units, in hospitals",Number,MEX,Mexico,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,MEX,Mexico,2020
"Magnetic Resonance Imaging units, in hospitals",Number,NLD,Netherlands,2020
"Magnetic Resonance Imaging units, total",Number,NLD,Netherlands,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,NLD,Netherlands,2020
"Magnetic Resonance Imaging units, total",Number,NZL,New Zealand,2020
"Magnetic Resonance Imaging units, total",Number,NOR,Norway,2020
"Magnetic Resonance Imaging units, total",Number,POL,Poland,2020
"Magnetic Resonance Imaging units, in hospitals",Number,POL,Poland,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,POL,Poland,2020
"Magnetic Resonance Imaging units, in hospitals",Number,PRT,Portugal,2020
"Magnetic Resonance Imaging units, total",Number,SVK,Slovak Republic,2020
"Magnetic Resonance Imaging units, in hospitals",Number,SVK,Slovak Republic,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVK,Slovak Republic,2020
"Magnetic Resonance Imaging units, total",Number,ESP,Spain,2020
"Magnetic Resonance Imaging units, in hospitals",Number,ESP,Spain,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ESP,Spain,2020
"Magnetic Resonance Imaging units, total",Number,SWE,Sweden,2020
"Magnetic Resonance Imaging units, in hospitals",Number,SWE,Sweden,2020
"Magnetic Resonance Imaging units, in hospitals",Number,CHE,Switzerland,2020
"Magnetic Resonance Imaging units, total",Number,TUR, Türkiye,2020
"Magnetic Resonance Imaging units, total",Number,USA,United States,2020
"Magnetic Resonance Imaging units, in hospitals",Number,USA,United States,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,USA,United States,2020
"Magnetic Resonance Imaging units, total",Number,BRA,Brazil,2020
"Magnetic Resonance Imaging units, total",Number,EST,Estonia,2020
"Magnetic Resonance Imaging units, in hospitals",Number,EST,Estonia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,EST,Estonia,2020
"Magnetic Resonance Imaging units, total",Number,ISR,Israel,2020
"Magnetic Resonance Imaging units, in hospitals",Number,ISR,Israel,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISR,Israel,2020
"Magnetic Resonance Imaging units, total",Number,SVN,Slovenia,2020
"Magnetic Resonance Imaging units, in hospitals",Number,SVN,Slovenia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVN,Slovenia,2020
"Magnetic Resonance Imaging units, total",Number,LVA,Latvia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LTU,Lithuania,2020
"Magnetic Resonance Imaging units, in hospitals",Number,LTU,Lithuania,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,LVA,Latvia,2020
"Magnetic Resonance Imaging units, total",Number,LTU,Lithuania,2020
"Magnetic Resonance Imaging units, in hospitals",Number,LVA,Latvia,2020
"Magnetic Resonance Imaging units, in hospitals",Number,CRI,Costa Rica,2020
"Magnetic Resonance Imaging units, in hospitals",Number,HRV,Croatia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,BGR,Bulgaria,2020
"Magnetic Resonance Imaging units, total",Number,BGR,Bulgaria,2020
"Magnetic Resonance Imaging units, total",Number,HRV,Croatia,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ROU,Romania,2020
"Magnetic Resonance Imaging units, in hospitals",Number,ROU,Romania,2020
"Magnetic Resonance Imaging units, in ambulatory sector",Number,HRV,Croatia,2020
"Magnetic Resonance Imaging units, in hospitals",Number,BGR,Bulgaria,2020
"Magnetic Resonance Imaging units, total",Number,ROU,Romania,2020
"Magnetic Resonance Imaging units, total",Number,AUS,Australia,2017
"Magnetic Resonance Imaging units, total",Number,AUT,Austria,2017
"Magnetic Resonance Imaging units, in hospitals",Number,AUT,Austria,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,AUT,Austria,2017
"Magnetic Resonance Imaging units, total",Number,BEL,Belgium,2017
"Magnetic Resonance Imaging units, in hospitals",Number,BEL,Belgium,2017
"Magnetic Resonance Imaging units, total",Number,CAN,Canada,2017
"Magnetic Resonance Imaging units, total",Number,CZE,Czechia,2017
"Magnetic Resonance Imaging units, in hospitals",Number,CZE,Czechia,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,CZE,Czechia,2017
"Magnetic Resonance Imaging units, total",Number,FIN,Finland,2017
"Magnetic Resonance Imaging units, in hospitals",Number,FIN,Finland,2017
"Magnetic Resonance Imaging units, total",Number,FRA,France,2017
"Magnetic Resonance Imaging units, in hospitals",Number,FRA,France,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,FRA,France,2017
"Magnetic Resonance Imaging units, total",Number,DEU,Germany,2017
"Magnetic Resonance Imaging units, in hospitals",Number,DEU,Germany,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,DEU,Germany,2017
"Magnetic Resonance Imaging units, total",Number,GRC,Greece,2017
"Magnetic Resonance Imaging units, in hospitals",Number,GRC,Greece,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,GRC,Greece,2017
"Magnetic Resonance Imaging units, total",Number,ISL,Iceland,2017
"Magnetic Resonance Imaging units, in hospitals",Number,ISL,Iceland,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ISL,Iceland,2017
"Magnetic Resonance Imaging units, total",Number,IRL,Ireland,2017
"Magnetic Resonance Imaging units, in hospitals",Number,IRL,Ireland,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,IRL,Ireland,2017
"Magnetic Resonance Imaging units, total",Number,ITA,Italy,2017
"Magnetic Resonance Imaging units, in hospitals",Number,ITA,Italy,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,ITA,Italy,2017
"Magnetic Resonance Imaging units, total",Number,JPN,Japan,2017
"Magnetic Resonance Imaging units, total",Number,KOR,Korea,2017
"Magnetic Resonance Imaging units, in hospitals",Number,KOR,Korea,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,KOR,Korea,2017
"Magnetic Resonance Imaging units, total",Number,LUX,Luxembourg,2017
"Magnetic Resonance Imaging units, in hospitals",Number,LUX,Luxembourg,2017
"Magnetic Resonance Imaging units, total",Number,MEX,Mexico,2017
"Magnetic Resonance Imaging units, in hospitals",Number,MEX,Mexico,2017
"Magnetic Resonance Imaging units, total",Number,NLD,Netherlands,2017
"Magnetic Resonance Imaging units, in hospitals",Number,NLD,Netherlands,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,NLD,Netherlands,2017
"Magnetic Resonance Imaging units, total",Number,NZL,New Zealand,2017
"Magnetic Resonance Imaging units, total",Number,NOR,Norway,2017
"Magnetic Resonance Imaging units, total",Number,POL,Poland,2017
"Magnetic Resonance Imaging units, in hospitals",Number,POL,Poland,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,POL,Poland,2017
"Magnetic Resonance Imaging units, in hospitals",Number,PRT,Portugal,2017
"Magnetic Resonance Imaging units, total",Number,SVK,Slovak Republic,2017
"Magnetic Resonance Imaging units, in hospitals",Number,SVK,Slovak Republic,2017
"Magnetic Resonance Imaging units, in ambulatory sector",Number,SVK,Slovak Republic,2017
"Magnetic Resonance Imaging units, total",Number,ESP,Spain,2017
"Magnetic Resonance Imaging units, in hospitals",Number,ESP,Spain,2017
