Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Mammographs,Number,Finland,2015,165,2.22,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2015,14,1.15,Low
Gamma cameras,Number,Finland,2015,48,1.68,Low
Radiation therapy equipment,Number,Finland,2015,57,1.76,Low
Computed Tomography scanners,Number,Germany,2015,2866,3.46,High
Magnetic Resonance Imaging units,Number,Germany,2015,2747,3.44,High
Computed Tomography scanners,Number,Greece,2015,391,2.59,Medium
Magnetic Resonance Imaging units,Number,Greece,2015,268,2.43,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2015,10,1,Very Low
Gamma cameras,Number,Greece,2015,158,2.2,Medium
Mammographs,Number,Greece,2015,658,2.82,Medium
Radiation therapy equipment,Number,Greece,2015,67,1.83,Low
Computed Tomography scanners,Number,Iceland,2015,13,1.11,Low
Magnetic Resonance Imaging units,Number,Iceland,2015,7,0.85,Very Low
Gamma cameras,Number,Iceland,2015,3,0.48,Very Low
Mammographs,Number,Iceland,2015,5,0.7,Very Low
Radiation therapy equipment,Number,Iceland,2015,3,0.48,Very Low
Computed Tomography scanners,Number,Ireland,2015,83,1.92,Low
Magnetic Resonance Imaging units,Number,Ireland,2015,66,1.82,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2015,8,0.9,Very Low
Gamma cameras,Number,Ireland,2015,28,1.45,Low
Mammographs,Number,Ireland,2015,66,1.82,Low
Radiation therapy equipment,Number,Ireland,2015,46,1.66,Low
Computed Tomography scanners,Number,Italy,2015,2023,3.31,High
Magnetic Resonance Imaging units,Number,Italy,2015,1715,3.23,High
Positron Emission Tomography (PET) scanners,Number,Italy,2015,185,2.27,Medium
Gamma cameras,Number,Italy,2015,508,2.71,Medium
Mammographs,Number,Italy,2015,2058,3.31,High
Radiation therapy equipment,Number,Italy,2015,412,2.61,Medium
Computed Tomography scanners,Number,Korea,2015,1889,3.28,High
Magnetic Resonance Imaging units,Number,Korea,2015,1340,3.13,High
Positron Emission Tomography (PET) scanners,Number,Korea,2015,202,2.31,Medium
Gamma cameras,Number,Korea,2015,294,2.47,Medium
Mammographs,Number,Korea,2015,2788,3.45,High
Radiation therapy equipment,Number,Korea,2015,290,2.46,Medium
Computed Tomography scanners,Number,Luxembourg,2015,10,1,Very Low
Magnetic Resonance Imaging units,Number,Luxembourg,2015,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2015,1,0,Very Low
Gamma cameras,Number,Luxembourg,2015,8,0.9,Very Low
Mammographs,Number,Luxembourg,2015,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2015,5,0.7,Very Low
Computed Tomography scanners,Number,Mexico,2015,669,2.83,Medium
Magnetic Resonance Imaging units,Number,Mexico,2015,284,2.45,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2015,7,0.85,Very Low
Gamma cameras,Number,Mexico,2015,53,1.72,Low
Mammographs,Number,Mexico,2015,1194,3.08,High
Radiation therapy equipment,Number,Mexico,2015,218,2.34,Medium
Computed Tomography scanners,Number,Netherlands,2015,233,2.37,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2015,212,2.33,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2015,64,1.81,Low
Gamma cameras,Number,Netherlands,2015,139,2.14,Medium
Computed Tomography scanners,Number,New Zealand,2015,82,1.91,Low
Magnetic Resonance Imaging units,Number,New Zealand,2015,61,1.79,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2015,6,0.78,Very Low
Gamma cameras,Number,New Zealand,2015,15,1.18,Low
Mammographs,Number,New Zealand,2015,101,2,Medium
Computed Tomography scanners,Number,Poland,2015,652,2.81,Medium
Magnetic Resonance Imaging units,Number,Poland,2015,290,2.46,Medium
Positron Emission Tomography (PET) scanners,Number,Poland,2015,26,1.41,Low
Gamma cameras,Number,Poland,2015,148,2.17,Medium
Mammographs,Number,Poland,2015,418,2.62,Medium
Radiation therapy equipment,Number,Poland,2015,159,2.2,Medium
Computed Tomography scanners,Number,Slovak Republic,2015,97,1.99,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2015,48,1.68,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2015,8,0.9,Very Low
Mammographs,Number,Slovak Republic,2015,102,2.01,Medium
Gamma cameras,Number,Slovak Republic,2015,27,1.43,Low
Radiation therapy equipment,Number,Slovak Republic,2015,67,1.83,Low
Computed Tomography scanners,Number,Spain,2015,837,2.92,Medium
Gamma cameras,Number,Spain,2015,304,2.48,Medium
Magnetic Resonance Imaging units,Number,Spain,2015,736,2.87,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2015,76,1.88,Low
Radiation therapy equipment,Number,Spain,2015,229,2.36,Medium
Mammographs,Number,Spain,2015,755,2.88,Medium
Computed Tomography scanners,Number,Sweden,2015,199,2.3,Medium
Magnetic Resonance Imaging units,Number,Sweden,2015,143,2.16,Medium
Positron Emission Tomography (PET) scanners,Number,Sweden,2015,16,1.2,Low
Gamma cameras,Number,Sweden,2015,75,1.88,Low
Mammographs,Number,Sweden,2015,127,2.1,Medium
Radiation therapy equipment,Number,Sweden,2015,76,1.88,Low
Mammographs,Number,Switzerland,2015,234,2.37,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2015,28,1.45,Low
Computed Tomography scanners,Number,Switzerland,2015,312,2.49,Medium
Radiation therapy equipment,Number,Switzerland,2015,139,2.14,Medium
Computed Tomography scanners,Number,Turkish,2015,1119,3.05,High
Magnetic Resonance Imaging units,Number,Turkish,2015,794,2.9,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2015,104,2.02,Medium
Gamma cameras,Number,Turkish,2015,260,2.41,Medium
Mammographs,Number,Turkish,2015,896,2.95,Medium
Radiation therapy equipment,Number,Turkish,2015,202,2.31,Medium
Computed Tomography scanners,Number,United States,2015,13150,4.12,Very High
Magnetic Resonance Imaging units,Number,United States,2015,12515,4.1,Very High
Positron Emission Tomography (PET) scanners,Number,United States,2015,1645,3.22,High
Mammographs,Number,United States,2015,15153,4.18,Very High
Computed Tomography scanners,Number,Brazil,2015,3996,3.6,High
Magnetic Resonance Imaging units,Number,Brazil,2015,2014,3.3,High
Gamma cameras,Number,Estonia,2015,3,0.48,Very Low
Magnetic Resonance Imaging units,Number,Estonia,2015,16,1.2,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2015,3,0.48,Very Low
Mammographs,Number,Estonia,2015,14,1.15,Low
Radiation therapy equipment,Number,Estonia,2015,5,0.7,Very Low
Computed Tomography scanners,Number,Israel,2015,79,1.9,Low
Magnetic Resonance Imaging units,Number,Israel,2015,35,1.54,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2015,9,0.95,Very Low
Gamma cameras,Number,Israel,2015,84,1.92,Low
Mammographs,Number,Israel,2015,68,1.83,Low
Radiation therapy equipment,Number,Israel,2015,33,1.52,Low
Computed Tomography scanners,Number,Russia,2015,1839,3.26,High
Magnetic Resonance Imaging units,Number,Russia,2015,680,2.83,Medium
Computed Tomography scanners,Number,Slovenia,2015,27,1.43,Low
Magnetic Resonance Imaging units,Number,Slovenia,2015,19,1.28,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2015,2,0.3,Very Low
Gamma cameras,Number,Slovenia,2015,17,1.23,Low
Mammographs,Number,Slovenia,2015,34,1.53,Low
Radiation therapy equipment,Number,Slovenia,2015,12,1.08,Low
Computed Tomography scanners,Per million population,Australia,2015,59.54,1.77,Low
Magnetic Resonance Imaging units,Per million population,Australia,2015,14.49,1.16,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2015,2.65,0.42,Very Low
Gamma cameras,Per million population,Australia,2015,19.4,1.29,Low
Mammographs,Per million population,Australia,2015,22.97,1.36,Low
Radiation therapy equipment,Per million population,Australia,2015,10.83,1.03,Low
Magnetic Resonance Imaging units,Per million population,Austria,2015,20.71,1.32,Low
Computed Tomography scanners,Per million population,Austria,2015,28.93,1.46,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2015,2.31,0.36,Very Low
Mammographs,Per million population,Austria,2015,23.37,1.37,Low
Gamma cameras,Per million population,Austria,2015,11.34,1.05,Low
Radiation therapy equipment,Per million population,Austria,2015,4.86,0.69,Very Low
Computed Tomography scanners,Per million population,Belgium,2015,23.59,1.37,Low
Magnetic Resonance Imaging units,Per million population,Belgium,2015,11.71,1.07,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2015,2.57,0.41,Very Low
Mammographs,Per million population,Belgium,2015,36.01,1.56,Low
Gamma cameras,Per million population,Belgium,2015,25.72,1.41,Low
Radiation therapy equipment,Per million population,Belgium,2015,18.09,1.26,Low
Computed Tomography scanners,Per million population,Canada,2015,15.07,1.18,Low
Magnetic Resonance Imaging units,Per million population,Canada,2015,9.52,0.98,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Canada,2015,1.32,0.12,Very Low
Mammographs,Per million population,Canada,2015,17.9,1.25,Low
Computed Tomography scanners,Per million population,Czechia,2015,16.12,1.21,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2015,8.34,0.92,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2015,1.04,0.02,Very Low
Gamma cameras,Per million population,Czechia,2015,11.57,1.06,Low
Mammographs,Per million population,Czechia,2015,10.62,1.03,Low
Radiation therapy equipment,Per million population,Czechia,2015,8.53,0.93,Very Low
Computed Tomography scanners,Per million population,Denmark,2015,37.65,1.58,Low
Positron Emission Tomography (PET) scanners,Per million population,Denmark,2015,6.33,0.8,Very Low
Gamma cameras,Per million population,Denmark,2015,16.54,1.22,Low
Mammographs,Per million population,Denmark,2015,16.54,1.22,Low
Radiation therapy equipment,Per million population,Denmark,2015,13.72,1.14,Low
Computed Tomography scanners,Per million population,Finland,2015,21.53,1.33,Low
Magnetic Resonance Imaging units,Per million population,Finland,2015,25.91,1.41,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2015,2.55,0.41,Very Low
Gamma cameras,Per million population,Finland,2015,8.76,0.94,Very Low
Mammographs,Per million population,Finland,2015,30.11,1.48,Low
Radiation therapy equipment,Per million population,Finland,2015,10.4,1.02,Low
Computed Tomography scanners,Per million population,Germany,2015,35.09,1.55,Low
Magnetic Resonance Imaging units,Per million population,Germany,2015,33.63,1.53,Low
Computed Tomography scanners,Per million population,Greece,2015,36.13,1.56,Low
Magnetic Resonance Imaging units,Per million population,Greece,2015,24.77,1.39,Low
Mammographs,Per million population,Greece,2015,60.81,1.78,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2015,0.92,-0.04,Very Low
Gamma cameras,Per million population,Greece,2015,14.6,1.16,Low
Radiation therapy equipment,Per million population,Greece,2015,6.19,0.79,Very Low
Computed Tomography scanners,Per million population,Iceland,2015,39.3,1.59,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2015,21.16,1.33,Low
Gamma cameras,Per million population,Iceland,2015,9.07,0.96,Very Low
Radiation therapy equipment,Per million population,Iceland,2015,9.07,0.96,Very Low
Mammographs,Per million population,Iceland,2015,15.11,1.18,Low
Computed Tomography scanners,Per million population,Ireland,2015,17.65,1.25,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2015,14.04,1.15,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2015,1.7,0.23,Very Low
Gamma cameras,Per million population,Ireland,2015,5.95,0.77,Very Low
Mammographs,Per million population,Ireland,2015,14.04,1.15,Low
Radiation therapy equipment,Per million population,Ireland,2015,9.78,0.99,Very Low
Computed Tomography scanners,Per million population,Italy,2015,33.31,1.52,Low
Magnetic Resonance Imaging units,Per million population,Italy,2015,28.24,1.45,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2015,3.05,0.48,Very Low
Gamma cameras,Per million population,Italy,2015,8.36,0.92,Very Low
Mammographs,Per million population,Italy,2015,33.89,1.53,Low
Radiation therapy equipment,Per million population,Italy,2015,6.78,0.83,Very Low
Computed Tomography scanners,Per million population,Korea,2015,37.03,1.57,Low
Magnetic Resonance Imaging units,Per million population,Korea,2015,26.27,1.42,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2015,3.96,0.6,Very Low
Gamma cameras,Per million population,Korea,2015,5.76,0.76,Very Low
Mammographs,Per million population,Korea,2015,54.65,1.74,Low
Radiation therapy equipment,Per million population,Korea,2015,5.68,0.75,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2015,17.56,1.24,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2015,12.29,1.09,Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2015,1.76,0.25,Very Low
Mammographs,Per million population,Luxembourg,2015,12.29,1.09,Low
Radiation therapy equipment,Per million population,Luxembourg,2015,8.78,0.94,Very Low
Computed Tomography scanners,Per million population,Mexico,2015,5.51,0.74,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2015,2.34,0.37,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Mexico,2015,0.06,-1.22,Very Low
Gamma cameras,Per million population,Mexico,2015,0.44,-0.36,Very Low
Mammographs,Per million population,Mexico,2015,9.84,0.99,Very Low
Radiation therapy equipment,Per million population,Mexico,2015,1.8,0.26,Very Low
Gamma cameras,Per million population,Luxembourg,2015,14.04,1.15,Low
Computed Tomography scanners,Per million population,Netherlands,2015,13.75,1.14,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2015,12.51,1.1,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2015,3.78,0.58,Very Low
Gamma cameras,Per million population,Netherlands,2015,8.21,0.91,Very Low
Computed Tomography scanners,Per million population,New Zealand,2015,17.79,1.25,Low
Magnetic Resonance Imaging units,Per million population,New Zealand,2015,13.23,1.12,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2015,1.3,0.11,Very Low
Gamma cameras,Per million population,New Zealand,2015,3.25,0.51,Very Low
Mammographs,Per million population,New Zealand,2015,21.91,1.34,Low
Computed Tomography scanners,Per million population,Poland,2015,17.16,1.23,Low
Magnetic Resonance Imaging units,Per million population,Poland,2015,7.63,0.88,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Poland,2015,0.68,-0.17,Very Low
Gamma cameras,Per million population,Poland,2015,3.9,0.59,Very Low
Mammographs,Per million population,Poland,2015,11,1.04,Low
Radiation therapy equipment,Per million population,Poland,2015,4.19,0.62,Very Low
Computed Tomography scanners,Per million population,Slovak Republic,2015,17.88,1.25,Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2015,1.47,0.17,Very Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2015,8.85,0.95,Very Low
Gamma cameras,Per million population,Slovak Republic,2015,4.98,0.7,Very Low
Mammographs,Per million population,Slovak Republic,2015,18.81,1.27,Low
Radiation therapy equipment,Per million population,Slovak Republic,2015,12.35,1.09,Low
Computed Tomography scanners,Per million population,Spain,2015,18.02,1.26,Low
Magnetic Resonance Imaging units,Per million population,Spain,2015,15.85,1.2,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2015,1.64,0.21,Very Low
Gamma cameras,Per million population,Spain,2015,6.55,0.82,Very Low
Mammographs,Per million population,Spain,2015,16.26,1.21,Low
Radiation therapy equipment,Per million population,Spain,2015,4.93,0.69,Very Low
Computed Tomography scanners,Per million population,Sweden,2015,20.31,1.31,Low
Magnetic Resonance Imaging units,Per million population,Sweden,2015,14.59,1.16,Low
Positron Emission Tomography (PET) scanners,Per million population,Sweden,2015,1.63,0.21,Very Low
Gamma cameras,Per million population,Sweden,2015,7.65,0.88,Very Low
Mammographs,Per million population,Sweden,2015,12.96,1.11,Low
Radiation therapy equipment,Per million population,Sweden,2015,7.76,0.89,Very Low
Computed Tomography scanners,Per million population,Switzerland,2015,37.67,1.58,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2015,3.38,0.53,Very Low
Mammographs,Per million population,Switzerland,2015,28.25,1.45,Low
Radiation therapy equipment,Per million population,Switzerland,2015,16.78,1.22,Low
Computed Tomography scanners,Per million population,Turkish,2015,14.31,1.16,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2015,10.15,1.01,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2015,1.33,0.12,Very Low
Gamma cameras,Per million population,Turkish,2015,3.32,0.52,Very Low
Mammographs,Per million population,Turkish,2015,11.46,1.06,Low
Radiation therapy equipment,Per million population,Turkish,2015,2.58,0.41,Very Low
Computed Tomography scanners,Per million population,United States,2015,41,1.61,Low
Magnetic Resonance Imaging units,Per million population,United States,2015,39.02,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,United States,2015,5.13,0.71,Very Low
Mammographs,Per million population,United States,2015,47.24,1.67,Low
Computed Tomography scanners,Per million population,Brazil,2015,19.64,1.29,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2015,9.9,1,Very Low
Magnetic Resonance Imaging units,Per million population,Estonia,2015,12.16,1.08,Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2015,2.28,0.36,Very Low
Gamma cameras,Per million population,Estonia,2015,2.28,0.36,Very Low
Mammographs,Per million population,Estonia,2015,10.64,1.03,Low
Radiation therapy equipment,Per million population,Estonia,2015,3.8,0.58,Very Low
Computed Tomography scanners,Per million population,Israel,2015,9.43,0.97,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2015,4.18,0.62,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2015,1.07,0.03,Very Low
Gamma cameras,Per million population,Israel,2015,10.02,1,Low
Mammographs,Per million population,Israel,2015,8.11,0.91,Very Low
Radiation therapy equipment,Per million population,Israel,2015,3.94,0.6,Very Low
Computed Tomography scanners,Per million population,Russia,2015,12.56,1.1,Low
Magnetic Resonance Imaging units,Per million population,Russia,2015,4.64,0.67,Very Low
Computed Tomography scanners,Per million population,Slovenia,2015,13.08,1.12,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2015,9.21,0.96,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2015,0.97,-0.01,Very Low
Gamma cameras,Per million population,Slovenia,2015,8.24,0.92,Very Low
Mammographs,Per million population,Slovenia,2015,16.48,1.22,Low
Radiation therapy equipment,Per million population,Slovenia,2015,5.82,0.76,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2015,25,1.4,Low
Mammographs,Number,Lithuania,2015,41,1.61,Low
Computed Tomography scanners,Number,Latvia,2015,73,1.86,Low
Radiation therapy equipment,Number,Lithuania,2015,23,1.36,Low
Radiation therapy equipment,Per million population,Latvia,2015,4.05,0.61,Very Low
Mammographs,Per million population,Latvia,2015,25.28,1.4,Low
Radiation therapy equipment,Per million population,Lithuania,2015,7.92,0.9,Very Low
Radiation therapy equipment,Number,Latvia,2015,8,0.9,Very Low
Mammographs,Per million population,Lithuania,2015,14.11,1.15,Low
Computed Tomography scanners,Per million population,Latvia,2015,36.91,1.57,Low
Positron Emission Tomography (PET) scanners,Number,Lithuania,2015,2,0.3,Very Low
Magnetic Resonance Imaging units,Number,Lithuania,2015,32,1.51,Low
Magnetic Resonance Imaging units,Per million population,Latvia,2015,12.64,1.1,Low
Gamma cameras,Per million population,Latvia,2015,3.03,0.48,Very Low
Computed Tomography scanners,Number,Lithuania,2015,61,1.79,Low
Positron Emission Tomography (PET) scanners,Per million population,Lithuania,2015,0.69,-0.16,Very Low
Computed Tomography scanners,Per million population,Lithuania,2015,21,1.32,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2015,11.02,1.04,Low
Mammographs,Number,Latvia,2015,50,1.7,Low
Gamma cameras,Number,Latvia,2015,6,0.78,Very Low
Gamma cameras,Number,Lithuania,2015,9,0.95,Very Low
Gamma cameras,Per million population,Lithuania,2015,3.1,0.49,Very Low
Magnetic Resonance Imaging units,Number,Colombia,2015,10,1,Very Low
Computed Tomography scanners,Number,Colombia,2015,342,2.53,Medium
Computed Tomography scanners,Per million population,Colombia,2015,7.09,0.85,Very Low
Magnetic Resonance Imaging units,Per million population,Colombia,2015,0.21,-0.68,Very Low
Gamma cameras,Per million population,Croatia,2015,7.84,0.89,Very Low
Radiation therapy equipment,Per million population,Croatia,2015,8.08,0.91,Very Low
Mammographs,Per million population,Croatia,2015,31.84,1.5,Low
Computed Tomography scanners,Per million population,Croatia,2015,15.21,1.18,Low
Magnetic Resonance Imaging units,Per million population,Croatia,2015,10.93,1.04,Low
Positron Emission Tomography (PET) scanners,Per million population,Croatia,2015,1.19,0.08,Very Low
Mammographs,Per million population,Romania,2015,7.72,0.89,Very Low
Radiation therapy equipment,Per million population,Romania,2015,3.68,0.57,Very Low
Radiation therapy equipment,Number,Romania,2015,73,1.86,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2015,51,1.71,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2015,3,0.48,Very Low
Positron Emission Tomography (PET) scanners,Number,Croatia,2015,5,0.7,Very Low
Magnetic Resonance Imaging units,Number,Croatia,2015,46,1.66,Low
Computed Tomography scanners,Number,Bulgaria,2015,241,2.38,Medium
Gamma cameras,Number,Croatia,2015,33,1.52,Low
Radiation therapy equipment,Per million population,Bulgaria,2015,8.36,0.92,Very Low
Computed Tomography scanners,Per million population,Romania,2015,11.76,1.07,Low
Gamma cameras,Number,Bulgaria,2015,24,1.38,Low
Mammographs,Number,Bulgaria,2015,213,2.33,Medium
Mammographs,Number,Croatia,2015,134,2.13,Medium
Radiation therapy equipment,Number,Croatia,2015,34,1.53,Low
Magnetic Resonance Imaging units,Per million population,Romania,2015,5.4,0.73,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2015,0.25,-0.6,Very Low
Gamma cameras,Per million population,Romania,2015,2.22,0.35,Very Low
Radiation therapy equipment,Number,Bulgaria,2015,60,1.78,Low
Computed Tomography scanners,Number,Croatia,2015,64,1.81,Low
Gamma cameras,Per million population,Bulgaria,2015,3.34,0.52,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2015,0.42,-0.38,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2015,5,0.7,Very Low
Gamma cameras,Number,Romania,2015,44,1.64,Low
Mammographs,Per million population,Bulgaria,2015,29.67,1.47,Low
Mammographs,Number,Romania,2015,153,2.18,Medium
Magnetic Resonance Imaging units,Per million population,Bulgaria,2015,7.11,0.85,Very Low
Computed Tomography scanners,Per million population,Bulgaria,2015,33.57,1.53,Low
Magnetic Resonance Imaging units,Number,Romania,2015,107,2.03,Medium
Computed Tomography scanners,Number,Romania,2015,233,2.37,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2012,42,1.62,Low
Computed Tomography scanners,Number,Australia,2012,1148,3.06,High
Magnetic Resonance Imaging units,Number,Australia,2012,125,2.1,Medium
Gamma cameras,Number,Australia,2012,456,2.66,Medium
Mammographs,Number,Australia,2012,517,2.71,Medium
Radiation therapy equipment,Number,Australia,2012,221,2.34,Medium
Computed Tomography scanners,Number,Austria,2012,251,2.4,Medium
Magnetic Resonance Imaging units,Number,Austria,2012,161,2.21,Medium
Gamma cameras,Number,Austria,2012,102,2.01,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2012,17,1.23,Low
Radiation therapy equipment,Number,Austria,2012,41,1.61,Low
Magnetic Resonance Imaging units,Number,Belgium,2012,118,2.07,Medium
Positron Emission Tomography (PET) scanners,Number,Belgium,2012,27,1.43,Low
Gamma cameras,Number,Belgium,2012,320,2.51,Medium
Mammographs,Number,Belgium,2012,422,2.63,Medium
Radiation therapy equipment,Number,Belgium,2012,167,2.22,Medium
Magnetic Resonance Imaging units,Number,Canada,2012,308,2.49,Medium
Computed Tomography scanners,Number,Canada,2012,510,2.71,Medium
Positron Emission Tomography (PET) scanners,Number,Canada,2012,42,1.62,Low
Gamma cameras,Number,Canada,2012,720,2.86,Medium
Mammographs,Number,Canada,2012,555,2.74,Medium
Computed Tomography scanners,Number,Czechia,2012,158,2.2,Medium
Magnetic Resonance Imaging units,Number,Czechia,2012,73,1.86,Low
Positron Emission Tomography (PET) scanners,Number,Czechia,2012,8,0.9,Very Low
Gamma cameras,Number,Czechia,2012,119,2.08,Medium
Mammographs,Number,Czechia,2012,130,2.11,Medium
Radiation therapy equipment,Number,Czechia,2012,88,1.94,Low
Computed Tomography scanners,Number,Denmark,2012,185,2.27,Medium
Computed Tomography scanners,Number,Finland,2012,118,2.07,Medium
Magnetic Resonance Imaging units,Number,Finland,2012,117,2.07,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2012,12,1.08,Low
Mammographs,Number,Finland,2012,158,2.2,Medium
Radiation therapy equipment,Number,Finland,2012,52,1.72,Low
Computed Tomography scanners,Number,France,2012,883,2.95,Medium
Magnetic Resonance Imaging units,Number,France,2012,566,2.75,Medium
Positron Emission Tomography (PET) scanners,Number,France,2012,89,1.95,Low
Gamma cameras,Number,France,2012,379,2.58,Medium
Computed Tomography scanners,Number,Germany,2012,2735,3.44,High
Magnetic Resonance Imaging units,Number,Germany,2012,2305,3.36,High
Computed Tomography scanners,Number,Greece,2012,369,2.57,Medium
Magnetic Resonance Imaging units,Number,Greece,2012,242,2.38,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2012,5,0.7,Very Low
Gamma cameras,Number,Greece,2012,158,2.2,Medium
Mammographs,Number,Greece,2012,613,2.79,Medium
Radiation therapy equipment,Number,Greece,2012,66,1.82,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2012,4,0.6,Very Low
Gamma cameras,Number,Hungary,2012,108,2.03,Medium
Mammographs,Number,Hungary,2012,143,2.16,Medium
Radiation therapy equipment,Number,Hungary,2012,42,1.62,Low
Computed Tomography scanners,Number,Iceland,2012,13,1.11,Low
Magnetic Resonance Imaging units,Number,Iceland,2012,7,0.85,Very Low
Gamma cameras,Number,Iceland,2012,2,0.3,Very Low
Mammographs,Number,Iceland,2012,5,0.7,Very Low
Radiation therapy equipment,Number,Iceland,2012,4,0.6,Very Low
Computed Tomography scanners,Number,Ireland,2012,77,1.89,Low
Magnetic Resonance Imaging units,Number,Ireland,2012,57,1.76,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2012,8,0.9,Very Low
Mammographs,Number,Ireland,2012,63,1.8,Low
Radiation therapy equipment,Number,Ireland,2012,46,1.66,Low
Gamma cameras,Number,Ireland,2012,30,1.48,Low
Computed Tomography scanners,Number,Italy,2012,1982,3.3,High
Magnetic Resonance Imaging units,Number,Italy,2012,1466,3.17,High
Positron Emission Tomography (PET) scanners,Number,Italy,2012,162,2.21,Medium
Gamma cameras,Number,Italy,2012,635,2.8,Medium
Mammographs,Number,Italy,2012,1993,3.3,High
Radiation therapy equipment,Number,Italy,2012,416,2.62,Medium
Computed Tomography scanners,Number,Korea,2012,1854,3.27,High
Magnetic Resonance Imaging units,Number,Korea,2012,1173,3.07,High
Positron Emission Tomography (PET) scanners,Number,Korea,2012,191,2.28,Medium
Gamma cameras,Number,Korea,2012,276,2.44,Medium
Mammographs,Number,Korea,2012,2741,3.44,High
Radiation therapy equipment,Number,Korea,2012,271,2.43,Medium
Computed Tomography scanners,Number,Luxembourg,2012,13,1.11,Low
Magnetic Resonance Imaging units,Number,Luxembourg,2012,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2012,1,0,Very Low
Gamma cameras,Number,Luxembourg,2012,9,0.95,Very Low
Mammographs,Number,Luxembourg,2012,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2012,3,0.48,Very Low
Computed Tomography scanners,Number,Mexico,2012,600,2.78,Medium
Magnetic Resonance Imaging units,Number,Mexico,2012,243,2.39,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2012,7,0.85,Very Low
Gamma cameras,Number,Mexico,2012,51,1.71,Low
